species_code,species
ACMA3,acer macrophyllum
VISE3,viola sempervirens
COLA3,coptis laciniata
VAPA,vaccinium parvifolium
ACCI,acer circinatum
TROV2,trillium ovatum
LIBO3,linnaea borealis
RUUR,rubus ursinus
PSME,pseudotsuga menziesii
TSHE,tsuga heterophylla
CHUM,chimaphila umbellata
CONU4,cornus nuttallii
RHMA3,rhododendron macrophyllum
SYRE,synthyris reniformis
COCA13,cornus canadensis
VAME,vaccinium membranaceum
ABAM,abies amabilis
ABPR,abies procera
