species,Code,Habit,Form,Habitat,Phnlgy,Path,STAT,Ref_Voucher
viguiera annua,VIAN ,  A  , FORB , RS  ,        SU   ,.    , NAT , CJ1646
viguiera dentata,VIDE ,  P  , FORB , .   ,        SU   ,.    , NAT , CJ1645
vulpia octoflora,VUOC ,  A  ,GRASS , BF  ,        SP   ,C3   , NAT , KA 208
xanthium strumarium,XAST ,  A  , FORB , PC  ,        SU   ,C3   , NAT , CJ1634
xanthocephalum microcephalum,XAMI ,  P  ,S-SHR , BS  ,        SU   ,C3   , NAT , CJ1574 S-2904
xanthocephalum sarothrae,XASA ,  P  ,S-SHR , BF  ,        SU   ,C3   , NAT , CJ1574 S-2148
xanthocephalum sphaerocephalum,XASP ,  A  , FORB , PC  ,        SU   ,C3   , NAT , CJ1575 S-1938
xanthocephalum texanum,XATE ,  A  , FORB , .   ,        SU   ,.    , NAT , CJ1575
yucca baccata,YUBA ,  P  ,LF-SU , BA  ,        SP  C,AM   , NAT , CJ 397
yucca elata,YUEL ,  P  ,LF-SU , BS  ,        SP   ,C3   , NAT , CJ 400
zephyranthes longifolia,ZELO ,  P  ,LF-SU , BS  ,        SU   ,C3   , NAT , CJ 418 L-1244
zinnia acerosa,ZIAC ,  P  ,S-SHR , BS  ,        SU   ,C3   , NAT , CJ1634
zinnia grandiflora,ZIGR ,  P  ,S-SHR , BS  ,        SU   ,C3   , NAT , CJ1634
ziziphus obtusifolia,ZIOB ,  P  ,SHRUB , BF  ,     SP-SU   ,C3   , NAT , CJ1013 L-1239
