tree.id,tag,start,end,latin,common,site,length,width,sex,hgt.91,dbh.91,can.91
ACPE-01,PP022,NA,NA,ACER PENSYLVANICUM,STRIPED MAPLE,LORD,16,14,B,2.4,NA,S
ACPE-02,PP035,NA,NA,ACER PENSYLVANICUM,STRIPED MAPLE,LORD,21,18,U,6.1,5.84,S
ACPE-03,PP040,NA,NA,ACER PENSYLVANICUM,STRIPED MAPLE,SWED,20,20,U,2.3,NA,S
ACPE-04,PP067,NA,NA,ACER PENSYLVANICUM,STRIPED MAPLE,SSBN,13,14,U,3,NA,S
ACRU-01,PP008,NA,NA,ACER RUBRUM,RED MAPLE,LORD,9,8,M,NA,17.27,I
ACRU-02,PP033,NA,NA,ACER RUBRUM,RED MAPLE,LORD,12,13,M,NA,21.59,C
ACRU-03,PP063,NA,NA,ACER RUBRUM,RED MAPLE,CSRD,NA,NA,U,NA,11.18,C
ACRU-04,PP074,NA,NA,ACER RUBRUM,RED MAPLE,SSBN,13,15,U,NA,6.1,I
ACRU-05,PP106,NA,NA,ACER RUBRUM,RED MAPLE,SFLD,11,10,U,NA,25.4,C
ACSA-02,PP012,NA,NA,ACER SACCHARUM,SUGAR MAPLE,LORD,12,11,NA,NA,8.9,S
ACSA-02,PP095,NA,NA,ACER SACCHARUM,SUGAR MAPLE,PHRD,14,14,U,NA,2.29,S
ACSA-03,PP103,NA,NA,ACER SACCHARUM,SUGAR MAPLE,SFLD,11,15,U,NA,65.02,D
AMSP-01,PP003,NA,NA,AMELANCHIER SP,SHADBUSH,LORD,8.5,NA,P,NA,11.18,S
AMSP-02,PP011,NA,NA,AMELANCHIER SP,SHADBUSH,LORD,9,NA,P,NA,9.14,S
AMSP-03,PP056,NA,NA,AMELANCHIER SP,SHADBUSH,CSRD,7,NA,P,1.7,NA,S
AMSP-04,PP100,NA,NA,AMELANCHIER SP,SHADBUSH,SFLD,7,NA,P,1.8,NA,I
ARSP-01,PP062,NA,NA,ARONIA SP,CHOKEBERRY,CSRD,7,NA,P,NA,NA,S
ARSP-02,PP078,NA,NA,ARONIA SP,CHOKEBERRY,SSBN,6,NA,P,1.2,NA,S
ARSP-03,PP098,NA,NA,ARONIA SP,CHOKEBERRY,PHRD,7,NA,P,1.9,NA,S
BEAL-01,PP014,NA,NA,BETULA ALLEGHANIENSIS,YELLOW BIRCH,LORD,8.5,NA,B,NA,13.97,I
BEAL-02,PP042,NA,NA,BETULA ALLEGHANIENSIS,YELLOW BIRCH,SWED,9,NA,B,NA,11.43,I
